profile,subs,ticks_per_sub,spin_ns,threads,arm,rep,arrivals,seconds,values_per_sec,load1
single_heavy,1,20000,2000,1,before_pool,0,20000,0.0585,341758,4.09
single_heavy,1,20000,2000,1,after_strand,0,20000,0.0455,439941,4.09
single_heavy,1,20000,2000,1,before_pool,1,20000,0.0559,357508,4.09
single_heavy,1,20000,2000,1,after_strand,1,20000,0.0453,441142,4.09
single_heavy,1,20000,2000,1,before_pool,2,20000,0.0561,356734,4.09
single_heavy,1,20000,2000,1,after_strand,2,20000,0.0452,442393,4.09
single_heavy,1,20000,2000,2,before_pool,0,20000,0.0297,672861,4.09
single_heavy,1,20000,2000,2,after_strand,0,20000,0.0455,439832,4.09
single_heavy,1,20000,2000,2,before_pool,1,20000,0.0293,682616,4.09
single_heavy,1,20000,2000,2,after_strand,1,20000,0.0456,438374,4.09
single_heavy,1,20000,2000,2,before_pool,2,20000,0.0293,682609,4.09
single_heavy,1,20000,2000,2,after_strand,2,20000,0.0454,440818,4.09
single_heavy,1,20000,2000,4,before_pool,0,20000,0.0322,621491,4.09
single_heavy,1,20000,2000,4,after_strand,0,20000,0.0456,439012,4.09
single_heavy,1,20000,2000,4,before_pool,1,20000,0.0320,624778,4.09
single_heavy,1,20000,2000,4,after_strand,1,20000,0.0456,438860,4.09
single_heavy,1,20000,2000,4,before_pool,2,20000,0.0320,624767,4.09
single_heavy,1,20000,2000,4,after_strand,2,20000,0.0456,438643,4.09
single_heavy,1,20000,2000,8,before_pool,0,20000,0.0410,487755,4.09
single_heavy,1,20000,2000,8,after_strand,0,20000,0.0460,435119,4.09
single_heavy,1,20000,2000,8,before_pool,1,20000,0.0407,491558,4.09
single_heavy,1,20000,2000,8,after_strand,1,20000,0.0455,439294,4.09
single_heavy,1,20000,2000,8,before_pool,2,20000,0.0492,406336,4.09
single_heavy,1,20000,2000,8,after_strand,2,20000,0.0453,441374,4.09
single_heavy,1,20000,2000,16,before_pool,0,20000,0.0497,402535,4.09
single_heavy,1,20000,2000,16,after_strand,0,20000,0.0455,439230,4.09
single_heavy,1,20000,2000,16,before_pool,1,20000,0.0497,402710,4.09
single_heavy,1,20000,2000,16,after_strand,1,20000,0.0456,438496,4.09
single_heavy,1,20000,2000,16,before_pool,2,20000,0.0491,406966,4.09
single_heavy,1,20000,2000,16,after_strand,2,20000,0.0455,439622,4.09
single_light,1,200000,0,1,before_pool,0,200000,0.2766,723033,4.09
single_light,1,200000,0,1,after_strand,0,200000,0.2737,730694,4.09
